source_name,source_url,reference_date,item_type,name_ko,category,region,address,latitude,longitude,summary,story_use,mission_use,age_tags,keywords,lbrryNm,ctprvnNm,signguNm,lbrrySe,closeDay,weekdayOperOpenHhmm,weekdayOperColseHhmm,satOperOperOpenHhmm,satOperCloseHhmm,holidayOperOpenHhmm,holidayCloseOpenHhmm,seatCo,bookCo,pblictnCo,noneBookCo,lonCo,lonDaycnt,rdnmadr,operInstitutionNm,phoneNumber,plotAr,buldAr,homepageUrl,referenceDate,insttCode,insttNm
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,가음정평생교육센터,작은도서관,창원시,"경상남도 창원시 성산구 원이대로 883번길 15-38(가음동,가음정민원센터 2층)",35.208574,128.6972162,가음정평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;20834,가음정평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,51,20834,27,323,5,14,"경상남도 창원시 성산구 원이대로 883번길 15-38(가음동,가음정민원센터 2층)",가음정동주민자치위원회,055-289-9155,683,355,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,남산평생교육센터,작은도서관,창원시,경상남도 창원시 성산구 가음로 92번길 6(가음동),35.205109,128.702613,남산평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;19528,남산평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,19528,2,179,3,14,경상남도 창원시 성산구 가음로 92번길 6(가음동),(사)경남여성회,055-282-9605,840,358,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,남양평생교육센터,작은도서관,창원시,경상남도 창원시 성산구 대정로84,35.20919855,128.7006329,남양평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;15591,남양평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,36,15591,27,0,5,14,경상남도 창원시 성산구 대정로84,희망나라,055-275-0307,1448,199,http://cafe.daum.net/mcwlnamyang,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,성주평생교육센터,작은도서관,창원시,경상남도 창원시 성산구 공단로 735(성주동),35.18883925,128.6944966,성주평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;21982,성주평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:30,17:00,00:00,00:00,36,21982,8,72,3,14,경상남도 창원시 성산구 공단로 735(성주동),성주동주민자치위원회,055-286-5506,,,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,웅남평생교육센터,작은도서관,창원시,경상남도 창원시 성산구 신촌로 50,35.205316,128.627154,웅남평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;21186,웅남평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:30,00:00,00:00,25,21186,9,107,2,14,경상남도 창원시 성산구 신촌로 50,웅남평생교육센터,055-286-5666,,150,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,용잠마을도서관,작은도서관,창원시,경상남도 창원시 의창구 동읍 용잠로 41,35.279752,128.688901,용잠마을도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;18150,용잠마을도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,00:00,00:00,00:00,00:00,20,18150,1,0,5,14,경상남도 창원시 의창구 동읍 용잠로 41,동읍주민자치회,055-253-9161,,227,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,자여마을도서관,작은도서관,창원시,경상남도 창원시 의창구 동읍 자여로 64,35.27732449,128.700235,자여마을도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;18399,자여마을도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,00:00,00:00,00:00,00:00,36,18399,3,80,5,14,경상남도 창원시 의창구 동읍 자여로 64,동읍주민자치회,055-291-0124,,77,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,반딧불이도서관,작은도서관,창원시,경상남도 창원시 의창구 북면 천주로 1085,35.347947,128.6073132,반딧불이도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;15543,반딧불이도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,12:00,00:00,00:00,30,15543,0,0,5,14,경상남도 창원시 의창구 북면 천주로 1085,북면주민자치회,055-298-6588,,132.2,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,봉림작은도서관,작은도서관,창원시,경상남도 창원시 의창구 창이대로259번길 19(봉곡동),35.24782998,128.666819,봉림작은도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;14645,봉림작은도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,27,14645,10,16,5,14,경상남도 창원시 의창구 창이대로259번길 19(봉곡동),(재)한가람문화재단,055-265-6087,,118.8,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,용지호수어울림도서관,작은도서관,창원시,경상남도 창원시 성산구 용지로211번길 21(용지동),35.23383362,128.682604,용지호수어울림도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;4391,용지호수어울림도서관,경상남도,창원시,작은도서관,월+일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,20,4391,3,25,3,14,경상남도 창원시 성산구 용지로211번길 21(용지동),용지동주민자치회,070-8807-0075,,41,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,반림작은도서관,작은도서관,창원시,"경상남도 창원시 성산구 반송로 105(반림동, 럭키A’)",35.23879258,128.6689248,반림작은도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;18302,반림작은도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:30,18:00,00:00,00:00,44,18302,5,969,5,14,"경상남도 창원시 성산구 반송로 105(반림동, 럭키A’)",반림마을도서위원회,055-261-9223,,138.6,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,늘푸른도서관,작은도서관,창원시,경상남도 창원시 성산구 외동반림로134번길 15(중앙동),35.229753,128.6741132,늘푸른도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;17463,늘푸른도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,21,17463,13,0,5,14,경상남도 창원시 성산구 외동반림로134번길 15(중앙동),중앙동새마을문고회,055-281-3342,,165,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,대동디지털마을도서관,작은도서관,창원시,"경상남도 창원시 성산구 창이대로881번길 8(대방동, 대동디지털A’)",35.20625561,128.7073881,대동디지털마을도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;14558,대동디지털마을도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,43,14558,4,0,3,14,"경상남도 창원시 성산구 창이대로881번길 8(대방동, 대동디지털A’)",대동디지털황토방아파트입주자대표회의,055-603-3087,,229.81,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2025-07-15,place,문학마을작은도서관,작은도서관,유성구,대전광역시 유성구 어은로 22(어은동,36.36080533,127.3592859,문학마을작은도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;11086,문학마을작은도서관,대전광역시,유성구,작은도서관,월+공휴일,10:00,17:00,10:00,17:00,00:00,00:00,60,11086,0,0,3,14,대전광역시 유성구 어은로 22(어은동,문학마을작은도서관 운영위원회,070-4192-1677,,263,http://small.u-library.kr,2025-07-15,3670000,대전광역시 유성구
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2025-07-15,place,별똥별과학도서관,작은도서관,유성구,대전광역시 유성구 죽동로 322(죽동),36.36942799,127.3356576,별똥별과학도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;16134,별똥별과학도서관,대전광역시,유성구,작은도서관,월+공휴일,10:00,17:00,10:00,17:00,00:00,00:00,25,16134,0,0,3,14,대전광역시 유성구 죽동로 322(죽동),별똥별과학도서관 운영위원회,042-825-6987,,533,http://small.u-library.kr,2025-07-15,3670000,대전광역시 유성구
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2025-07-15,place,어린이영어마을도서관,작은도서관,유성구,대전광역시 유성구 지족동로 145(지족동),36.38680886,127.3079041,어린이영어마을도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;22728,어린이영어마을도서관,대전광역시,유성구,작은도서관,월+공휴일,10:00,17:00,10:00,17:00,00:00,00:00,60,22728,0,0,3,7,대전광역시 유성구 지족동로 145(지족동),유성구어린이영어마을 작은도서관 운영위원회,042-611-6962,2594,234,http://small.u-library.kr,2025-07-15,3670000,대전광역시 유성구
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2025-07-15,place,송강마을작은도서관,작은도서관,유성구,대전광역시 유성구 송강로 42번길 34(송강동),36.43500958,127.3840999632,송강마을작은도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;18955,송강마을작은도서관,대전광역시,유성구,작은도서관,월+공휴일,10:00,17:00,10:00,17:00,00:00,00:00,40,18955,0,0,3,7,대전광역시 유성구 송강로 42번길 34(송강동),송강마을 작은도서관 운영위원회,070-4404-3030,19703,166,http://small.u-library.kr,2025-07-15,3670000,대전광역시 유성구
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,사파동성마을작은도서관,작은도서관,창원시,"경상남도 창원시 성산구 창이대로 737(사파동, 사파동성A’)",35.21896394,128.7050223,사파동성마을작은도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;17231,사파동성마을작은도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,00:00,00:00,00:00,00:00,32,17231,54,178,3,14,"경상남도 창원시 성산구 창이대로 737(사파동, 사파동성A’)",사파동성아파트입주자대표회의,055-263-8216,,96,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,안민마을도서관,작은도서관,창원시,경상남도 창원시 성산구 안민안길 34(안민동),35.18723721,128.692676,안민마을도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;14564,안민마을도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,36,14564,7,0,5,14,경상남도 창원시 성산구 안민안길 34(안민동),성주동주민자치회,055-281-5520,,131,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,안민청솔마을도서관,작은도서관,창원시,경상남도 창원시 성산구 안민로117번길 17(안민동),35.18740864,128.6897059,안민청솔마을도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;15317,안민청솔마을도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:30,17:00,00:00,00:00,138,15317,4,0,5,14,경상남도 창원시 성산구 안민로117번길 17(안민동),성주동주민자치회,055-264-0129,,170.05,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,반월작은도서관,작은도서관,창원시,경상남도 창원시 마산합포구 3·15대로 121(중앙동1가),35.19036173,128.562451,반월작은도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;15541,반월작은도서관,경상남도,창원시,작은도서관,월+일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,30,15541,0,0,5,14,경상남도 창원시 마산합포구 3·15대로 121(중앙동1가),반월중앙동주민자치회,055-221-8160,,204.95,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,부림희망작은도서관,작은도서관,창원시,경상남도 창원시 마산합포구 3·15대로 351(부림동),35.20627383,128.5729547,부림희망작은도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;10411,부림희망작은도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,25,10411,5,33,3,14,경상남도 창원시 마산합포구 3·15대로 351(부림동),오동동새마을문고,055-222-0531,,84,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,무학산블루밍작은도서관,작은도서관,창원시,"경상남도 창원시 마산합포구 노산서18길 142(교방동, 벽산블루밍A’) 2단지",35.21607751,128.5625775,무학산블루밍작은도서관은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;10427,무학산블루밍작은도서관,경상남도,창원시,작은도서관,월+일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,40,10427,0,159,5,14,"경상남도 창원시 마산합포구 노산서18길 142(교방동, 벽산블루밍A’) 2단지",마산무학산블루밍아파트입주자대표회의,055-245-5730,,175,,2024-12-05,5670000,경상남도 창원시
