latitude,longitude,relicsNm,appnNo,relicsKnd,relicsSe,rdnmadr,lnmadr,appnDate,posesnSe,ownerNm,scale,makePd,picInfo,relicsIntrcn,phoneNumber,institutionNm,referenceDate,insttCode,insttNm
33.304061,126.467387,쌍계암묘법연화경,31,유형문화유적,도 유형문화유산,,제주특별자치도 서귀포시 상효동 1156-18번지(쌍계암),2012-05-23,사유,,,,,묘법연화경은 화엄경과 함께 대승불교를 상징하는 경전으로 법화경이라고도 한다. 쌍계암 소장본은 7권 7책의 완본으로 판각은 『가정십팔년기해정월일경상도안음지덕유산영각사중각嘉靖十八年己亥正月日慶尙道安陰地德宥山靈覺寺重刻』이라 되어 있어 1539년에 개간되었음을 알 수 있다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.443317,126.329336,악락심천,16,기념물,도 향토유형유산,,제주특별자치도 제주시 애월읍 납읍리 1795-5,2015-03-11,사유,,,,,물이 귀한 제주도 중산간마을에서 우물을 조성한 사례로 원형으로 축조되어 있어 예술적으로도 뛰어나다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.505631,126.531724,안민고절목,12,유형문화유적,도 문화유산자료,,제주특별자치도 제주시 일도이동 996-1번지(제주민속자연사박물관),2013-10-17,사유,,,,,정의현의 재정부족분 충당과 고역(苦役) 종사자에 대한 부담 완화를 목적으로 만들어진 임시 재정기구인 『안민고』 운영을 위한 『운영세칙』을 기록한 자료로 1758년(영조34) 정의현감 윤신흥이 곡식 500여석을 비축하여 처음 만든 이래 1763년(영조39)과 1787년(정조11) 1836년(헌종2) 3차례에 걸쳐 각각 절목이 추가되어 당시의 사회변동 상황을 알 수 있을 뿐 아니라 조선시대 제주에서 운영된 『민고』의 실체를 증명해 주는 역사적 자료로써 가치가 높다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
36.13426291,127.6786772,강선대,1,기념물,건조물,,충청북도 영동군 양산면 봉곡리 산 43,1996-04-15,사유,,,,,1956년 함양여씨 종중에서 건립한 것으로 신선이 내려와 놀던 곳이라 강선대라 하였다. 양산팔경 중 제2경이다.,043-740-3203,충청북도 영동군청,2023-12-05,4440000,충청북도 영동군
36.14273625,127.910867,고반대,2,기념물,건조물,,충청북도 영동군 상촌면 유곡리 817,1996-04-15,사유,,,,,삼괴당 남지언선생이 놀던곳으로 깊이 생각한다는 듯으로 영사각이라고도 불렀다. 건립후 초가집으로 있던것을 1829년 현재의 형태로 중수한 건물이다.,043-740-3203,충청북도 영동군청,2023-12-05,4440000,충청북도 영동군
36.192301,127.701558,관어대,3,기념물,건조물,,충청북도 영동군 심천면 금정리 산 51,1996-04-15,사유,,,,,심천면 약목리와 금정리 도로변 금강변에 위치한 정자로 고기가 노는  장면을 보던 곳이라 관어대라 하였다고 한다.,043-740-3203,충청북도 영동군청,2023-12-05,4440000,충청북도 영동군
36.13027024,127.6882125,금호루,4,기념물,건조물,,충청북도 영동군 양산면 봉곡리 378,1996-04-15,사유,,,,,1938년 고장 선비들이 무주에 있던 한풍루를 옮겨 지었다가 1971년 무주에 건물을 반환하고 1972년 현재의 형태로 건립한 것이다..,043-740-3203,충청북도 영동군청,2023-12-05,4440000,충청북도 영동군
36.17587631,127.7701797,노후사,5,기념물,건조물,,충청북도 영동군 영동읍 부용리 372,1996-04-15,사유,,,,,영동향교 내에 있는 사당으로 영동현령을 지낸 노흥의 위패를 모신 사당임. 노흥은 1415년 영동 현령으로 부임하여 사재를 희사하여 향교를 관리하게 하고 유학진흥과 인재양성에 큰 업적을 남기었다.,043-740-3203,충청북도 영동군청,2023-12-05,4440000,충청북도 영동군
36.139757,127.700922,두평리5층석탑,8,유형문화유적,석탑,,충청북도 영동군 양강면 두평리 545-4,1996-04-15,사유,,,,,고려 중기 양식의 석탑으로 자풍서당 주변 폐사지에 방치되어 있던 것을 자풍서당 내로 이전하여 복원하 석탑이다.,043-740-3203,충청북도 영동군청,2023-12-05,4440000,충청북도 영동군
36.280206,127.909716,반야사부도1기,10,유형문화유적,부도,,충청북도 영동군 황간면 우매리 152-3,1996-04-15,사유,,,,,반야사 경내 입구에 있는 부도로 탑신위의 옥개석은 4각형으로 당초문이 음각되어 있다.,043-740-3203,충청북도 영동군청,2023-12-05,4440000,충청북도 영동군
36.280206,127.909716,반야사부도2기,11,유형문화유적,부도,,충청북도 영동군 황간면 우매리 152-3,1996-04-15,사유,,,,,반야사 입구에 있는 부도로 방형의 지대석 위에 팔각으로 된 대석을 놓고 그 위에 종형의 탑신석을 올린 부도이다.,043-740-3203,충청북도 영동군청,2023-12-05,4440000,충청북도 영동군
36.2809278,127.9082964,반야사불상,12,유형문화유적,불상,,충청북도 영동군 황간면 우매리 152-33,1996-04-15,사유,,,,,반야사 대웅전 내에 봉안된 불상으로 석가여래좌상을 주존으로 보현보살과 문수보살을 협시보살로 배치한 형태이다.,043-740-3203,충청북도 영동군청,2023-12-05,4440000,충청북도 영동군
33.436738,126.379339,곡반제단,25,기념물,도 향토유형유산,,제주특별자치도 제주시 애월읍 소길리 772-11번지,2018-10-04,사유,,,,,소길리 멍덕동산 내 위치한 이곳은 일제강점기인 순종 승하시 마을 단위 곡반(哭班 國喪때에 궁중에서 곡하는 관리의 반열) 설립을 알 수 있는 도내 유일의 유적인 것으로 파악된다. 여기에는 북쪽을 향한「哭班祭坍」이라 쓰여진 표석 1기가 자리하고 있음에 따라 국상(國喪) 당시 소길리를 중심으로 한 양반층이 이곳에 모여 북쪽을 향해 곡하면서 배례하는 등의 나라에 대한 충성을 기렸던 곳임을 알 수 있다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.524509,126.559686,곤을동환해장성,49,기념물,도 기념물,,제주특별자치도 제주시 화북일동 4373번지 외 4필지,1998-01-07,국유,,,,,현재 남아 있는 곤을동 환해장성의 성벽 길이는 약 140m이다. 성벽은 바깥쪽으로 배가 부른 형태로 성 위에는 총이나 활을 쏠 수 있도록 구멍이 뚫린 여장이 있다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.494265,126.454171,골왓마을방사탑 1호,8,민속자료,도 민속문화유산,,제주특별자치도 제주시 이호이동 1519-1번지 일원,1995-08-26,국유,,,,,방사탑은 마을의 어느 한 방위에 불길한 징조가 보인다거나 어느 한 지형의 기가 허한 곳에 쌓아두는 돌탑으로 부정과 악의 출입을 막아 마을을 평안하게 하고자 하는 신앙의 대상물이다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.494265,126.454171,골왓마을방사탑 2호,8,민속자료,도 민속문화유산,,제주특별자치도 제주시 이호이동 1519-1번지 일원,1995-08-26,국유,,,,,방사탑은 마을의 어느 한 방위에 불길한 징조가 보인다거나 어느 한 지형의 기가 허한 곳에 쌓아두는 돌탑으로 부정과 악의 출입을 막아 마을을 평안하게 하고자 하는 신앙의 대상물이다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.494728,126.455354,골왓마을방사탑 3호,8,민속자료,도 민속문화유산,,제주특별자치도 제주시 이호동 1528-6번지,1995-08-26,국유,,,,,방사탑은 마을의 어느 한 방위에 불길한 징조가 보인다거나 어느 한 지형의 기가 허한 곳에 쌓아두는 돌탑으로 부정과 악의 출입을 막아 마을을 평안하게 하고자 하는 신앙의 대상물이다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.494617,126.455545,골왓마을방사탑 4호,8,민속자료,도 민속문화유산,,제주특별자치도 제주시 이호동 1544번지 일원,1995-08-26,국유,,,,,방사탑은 마을의 어느 한 방위에 불길한 징조가 보인다거나 어느 한 지형의 기가 허한 곳에 쌓아두는 돌탑으로 부정과 악의 출입을 막아 마을을 평안하게 하고자 하는 신앙의 대상물이다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.492651,126.455151,골왓마을방사탑 5호,8,민속자료,도 민속문화유산,,제주특별자치도 제주시 이호동 1414-2번지 일원,1995-08-26,국유,,,,,방사탑은 마을의 어느 한 방위에 불길한 징조가 보인다거나 어느 한 지형의 기가 허한 곳에 쌓아두는 돌탑으로 부정과 악의 출입을 막아 마을을 평안하게 하고자 하는 신앙의 대상물이다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.445901,126.307056,곽지패총,41,기념물,도 기념물,,제주특별자치도 제주시 애월읍 곽지리 2043-1번지 외 5필지,1998-01-07,국유,,,,,곽지패총은 지표상에 흩어진 유물 분포 범위가 10000평 이상의 대규모 유적지로 철기시대부터 조선시대에까지 이르는 연속된 패총문화층을 보여주고 있다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.423909,126.558309,관음사 목조관음보살좌상,16,유형문화유적,도 유형문화유산,,제주특별자치도 제주시 아라동 387번지,1999-10-06,사유,,,,,『관음보살좌상』은 1698년 제작되어 전남 영암 성도암에서 개금(改金) 해남 대흥사에 봉안됐다가 1908년 제주관음사를 재 창건한 안봉여관스님이 1925년 대흥사의 말사인 제주 관음사로 옮겨온 것으로 기록되어 있다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.443986,126.539781,관음사의 왕벚나무자생지,51,기념물,도 기념물,,제주특별자치도 제주시 아라동 산 66번지,1999-10-06,국유,,,,,관음사의 왕벚나무 자생지는 왕벚나무 자생지로서는 가장 많은 개체수를 이루고 있으며 꽃의 형질도 매우 우수하여 보존할만한 가치가 인정되어 기념물로 지정하여 보호하고 있다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
37.53531985,127.1927448,전주이씨 희령군파 묘역,향토유적 제17호,유형문화유적,묘,,경기도 하남시 덕풍동 산67,2022-10-13,사유,전주이씨 희령군파,,조선,,희령군 이타(미상~1465)는 조선 3대 국왕 태종과 숙의최씨淑儀崔氏의 아들로 시호는 이정夷靖이다.,031-790-6286,경기도 하남시청,2025-11-27,4040000,경기도 하남시
37.893437,127.731471,소양로 비석군,제2017-01호,유형문화유적,유형문화유적,,강원특별자치도 춘천시 소양로1가 3-3,2017-09-01,국유,기획재정부,259,조선시대,,소양로 비석군은 소양1교 주변과 춘천 관내에 흩어져 있던 비석들을 1940년과 1983년에 모두 소양로1가 3-3번지로 옮겨와서 보호하고 있는 것이다. 비 가운데는 조선시대의 종이품직(從二品職)으로서 지금의 도지사급인 관찰사비 5기와 종삼품직(從三品職)으로서 지금의 시장급인 부사비 15기,033-250-3400,강원특별자치도 춘천시청,2025-11-19,4181000,강원특별자치도 춘천시
37.893514,127.733716,소양로 마애비군,제2017-02호,유형문화유적,유형문화유적,강원특별자치도 춘천시 후석로 542,강원특별자치도 춘천시 소양로1가 1-32,2017-09-01,국유,국토교통부,,조선시대,,소양로 마애비군은 소양로1가 1-32번지 일원의 사면 암벽에 양각해 놓은 형태의 마애비 4기로,033-250-3400,강원특별자치도 춘천시청,2025-11-19,4181000,강원특별자치도 춘천시
37.96272381,127.7609379,춘천 발산리 고인돌군,제2019-01호,유형문화유적,유형문화유적,,강원특별자치도 춘천시 신북읍 발산리 253,2019-09-10,국유,춘천시,7322,청동기,,발산리 고인돌군은 2002년 발굴조사 이후 매장문화재 보존유적으로 관리되고 있다. 한 공간에 지석묘와 석관묘가 공존하고 있으며,033-250-3400,강원특별자치도 춘천시청,2025-11-19,4181000,강원특별자치도 춘천시
37.890124,127.737245,춘천 봉의산 반석평시 암각문,향토문화유산 제4호,유형문화유적,유형문화유적,,강원특별자치도 춘천시 후평동 산15-5번지 일원,2022-05-25,국유,강원특별자치도,,조선시대,,춘천 봉의산 반석평 시 암각문은 1531년에 반석평이 지은 시를 1725년 반석평의 9세손 반우한이 봉의산 동쪽 바위면에 새긴 것이다. 각자의 보존상태가 양호하여 문장 전체 판독이 가능하다.,033-250-3400,강원특별자치도 춘천시청,2025-11-19,4181000,강원특별자치도 춘천시
37.967567,127.690209,춘천 용산리 화협옹주 태실,향토문화유산 제5호,유형문화유적,유형문화유적,,강원특별자치도 춘천시 신북읍 용산리 산1번지,2022-05-25,국유,산림청,,조선시대,,춘천 용산리 화협옹주 태실은 조선 제21대 임금 영조의 7번째 딸인 화협옹주의 태실이다. 현재 춘천에는 서면 현암리,033-250-3400,강원특별자치도 춘천시청,2025-11-19,4181000,강원특별자치도 춘천시
37.887227,127.724660,대장장(춘천 강동 대장간),향토문화유산 제6호,무형문화유적,무형문화유적,강원특별자치도 춘천시 소양로 158,강원특별자치도 춘천시 소양로2가 174-30,2022-05-25,사유,박경환,,현대,,강동대장간은 1963년부터 대장간을 운영하던 소유자의 부친으로부터 1996년을 기점으로 전수받아 지금까지 약 30년간 전통방식으로 농기구 등을 제작하고 있다. 현재 아들에게도 전통방식의 기능을 전수하고 있다.,033-250-3400,강원특별자치도 춘천시청,2025-11-19,4181000,강원특별자치도 춘천시
37.1837243,127.864167,경천묘,2008-1호,유형문화유적,건조물,강원특별자치도 원주시 귀래면 미륵산길 200,강원특별자치도 원주시 귀래면 주포리 산 25-9,2008-04-23,국유,원주시,2동,"고려초 건립, 조선시대 여러 번 중수, 2006년 복원",,경천묘는 원주 귀래면에 있는 신라의 마지막왕 경순왕의 영정을 모신 영정각으로 원주시향토 문화유적 제1호로 지정됨,033-737-2814,강원특별자치도 원주시청,2025-11-25,4191000,강원특별자치도 원주시
37.0544473,127.6053354,성주이씨 열녀각,제26호,유형문화유적,향토문화유산,,충청북도 음성군 생극면 차평리 525-5,2016-12-26,사유,,,,,"조선후기 열녀인 김선경의 처 성주이씨(1545~1592)의 정절을 기리는 열녀각이다. 1865년 건립되었으며. 이후 1918년에 중수하였고, 1969년 이구령 충신각 인근 자리로 이건하였다가, 1998년 지금의 자리인 생극면 차평리 525-5로 이건하였다. 정면 1칸, 측면 1칸의 겹처마 맞배지붕의 목조기와집으로, 사면을 홍살로 막고 양옆에 풍벽을 달았으며, 안에는 정려현판을 걸었다.",043-871-3544,경주김씨 판관공파 종중,2024-09-27,4470000,충청북도 음성군
36.9309119,127.7047168,평곡리 석조보살입상,제27호,유형문화유적,향토문화유산,,충청북도 음성군 음성읍 평곡리 383-1,2016-12-26,국유,,,,,"음성읍 평곡리 탑정이 마을 옛 절터에 있는 불상이다. 이 불상은 모래질이 많은 화강암으로 조성되어 있으며, 좌대와 불상이 한 개의 돌로 이루어 졌으며, 머리가 절단되어 목부분을 보강하였다.",043-871-3544,충청북도 음성군,2024-09-27,4470000,충청북도 음성군
36.9893434,127.5425956,민동량 효자각,제28호,유형문화유적,향토문화유산,,충청북도 음성군 금왕읍 신평리 산53,2016-12-26,사유,,,,,"민동량의 효를 기리기 위한 효자정려이다.이 효자각은 정면 1칸, 측면 1칸의 홑처마 맞배지붕의 목조기와집으로 사면을 홍살로 막았다. 지붕 측면에 풍벽 대신에 2개의 박공널이 겹쳐서 설치되어 있으며, 안에는 정려 현판이 걸려 있다.",043-871-3544,여흥민씨 종중,2024-09-27,4470000,충청북도 음성군
36.73910034,127.5207893,최유경 효자비崔有慶 孝子碑,141,유형문화유적,건조물,,충청북도 청주시 청원구 북이면 대율리 211-2,2015-04-17,사유,,1기,,,조선 태조때 축성도감으로 서울 도성을 쌓은 최유경의 효행을 기리기 위해 세워진 비석임,043-201-2437,충청북도 청주시청,2025-11-18,5710000,충청북도 청주시
36.75374755,127.5122455,김한정 충신각金漢廷 忠臣閣,142,유형문화유적,건조물,,충청북도 청주시 청원구 북이면 석성리 410-7,2015-04-17,사유,,1동,,,이인좌의 난때 의병을 일으켜 싸우다 전사한 김한정의 충절을 기리기 위해 세운 정려각,043-201-2437,충청북도 청주시청,2025-11-18,5710000,충청북도 청주시
36.65125048,127.4856762,청원경찰서 구내 불상淸原警察署 區內 佛像,143,유형문화유적,조각,,충청북도 청주시 청원구 우암동 354-10,2015-04-17,국유,,1구,,,청주시내 원도심 지역에 있었던 불상으로 청주의 불교문화 연구에 중요한 자료임,043-201-2437,충청북도 청주시청,2025-11-18,5710000,충청북도 청주시
36.69632539,127.4837225,최영장군 영당崔瑩將軍 影堂,144,유형문화유적,건조물,,충청북도 청주시 청원구 외남동 150-44,2015-04-17,사유,,1동,,,고려 명장인 최영장군의 영정을 봉안한 사당,043-201-2437,충청북도 청주시청,2025-11-18,5710000,충청북도 청주시
36.59600903,127.4149883,박춘무 묘소朴春茂 墓所,145,유형문화유적,건조물,,충청북도 청주시 서원구 남이면 구암리 산13-13,2016-03-18,사유,,1원,,,임진왜란 청주에서 의병을 일의켜 청주성 탈환에 공이 큰 인물의 묘소.,043-201-2437,충청북도 청주시청,2025-11-18,5710000,충청북도 청주시
33.490366,126.744018,거문오름 용암동굴계 상류동굴군(웃산전굴 북오름굴 대림굴),552,기념물,천연기념물,,제주특별자치도 제주시 구좌읍 덕천리 910 외,2017-01-04,국유,,,,,거문오름 용암동굴계 상류동굴군은 제주시 구좌읍 덕천리 일대에 발달된 웃산전굴 북오름굴 대림동굴을 포함한 것으로 거문오름 용암동굴계의 연장선상에 위치하고 있고 웅장한 규모와 다양한 동굴생성물 동굴생태계가 유지되고 있어 학술적 경관적 가치가 매우 높다.,064-710-6652,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.460036,126.340636,고내봉수터,36,기념물,도 향토유형유산,,제주특별자치도 제주시 애월읍 고내리 산3-1번지,2022-05-04,사유,,,,,『고내봉수터』는 제주시 애월읍 고내리 고내봉 해발고도 175m 정상부에 위치하고 있다. 중앙에 원형으로 흙을 쌓고 그 주변에 도랑을 만든 형태로 1454년(단종 2) 이전에 축조된 것으로 조사됐다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.311853,126.695167,고려 정씨 열녀비,29,유형문화유적,도 향토유형유산,,제주특별자치도 서귀포시 남원읍 한남리 359-2번지,2019-11-27,사유,,,,,고려 목호의 난(1374년)을 겪은 열녀 정씨에 대하여 1428년(세종10)에 열녀로 추서하여 비석을 세웠으나 소멸되어 1834년(순조34)에 다시 세워 보존 중이다. 비문은 13세기 후반 이후 제주사의 실체를 그 어느 자료보다도 구체적으로 엿볼 수 있는 내용과 아울러 제주 열녀 가운데 가장 이른 시기에 정려되었던 여성이 한남리 정씨(鄭氏)였다는 것을 알 수 있다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.524571,126.583201,고분양태,12,무형문화유적,도 무형유산,,제주특별자치도 제주시 삼양이동 2079번지,1998-04-08,사유,,,,,갓은 갓양태와 갓모자로 나누어지는데 갓양태는 갓밑 둘레 바깥으로 넓게 바닥이 된 부분을 말하는 것으로 『양태』 · 『갓양』이라고도 하며 제주에서는 『양태』라 부르기도 한다.,064-710-6972,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.309581,126.164285,고산리 등명대,1,유형문화유적,도 등록문화유산,,제주특별자치도 제주시 한경면 고산리 3616-18번지,2021-07-29,국유,,,,,등명대는 제주도에만 남아있는 유산으로 희소성을 지님과 동시에 근대시기 어업문화 및 해양생활을 살펴볼 수 있는 해양문화자원으로 역사성 및 학술적 가치를 지님에 따라 도 등록문화재로 등록될만한 가치가 크다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.389641,126.799714,고소리술,11,무형문화유적,도 무형유산,,제주특별자치도 서귀포시 표선면 성읍리 673-1번지,1995-04-20,사유,,,,,이원진이 쓴『탐라지』에 다용소주(多用燒酒)라는 기록이 있는데 바로 이 고소리술을 두고 하는 말이다. 이 술은 발효주인 오메기술을 증류시킨 것으로 조를 비롯한 잡곡을 재료로 삼았다. 술독에 묻어둔 밑술을 솥에 넣어 고소리로 증류해서 소주를 고아내는 것을 『술닦는다』라고 하고 그 술을 두고 고소리술이라고 한다. 고소리술은 현재 기능보유자 김을정씨에 의해 전승되고 있다.,064-710-6972,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.334731,126.758175,고수동 거욱대,28,유형문화유적,도 향토유형유산,,제주특별자치도 서귀포시 남원읍 신흥리 2482번지,2019-11-27,국유,,,,,계곡에 인접하여 마을 경계에 세워진 고수동 거욱대는 남아있는 사진 자료에 의하면 반타원형의 돌무지 위에 새를 형상화한 십자형태의 나무조형이 세워져있던 원형을 가진 거욱대이다. 그러나 현재는 도로변에 인접한 부분의 돌무지 상단부가 상당부분 허물어져 있으며 돌무지 내부에 넝쿨이 자라고 그 앞쪽으로 커다란 나무가 자라고 있어 그 원형을 온전히 확인할 수 없지만 계곡 쪽으로 남아있는 면은 상단부 일부를 제외하고는 대부분 온전하게 남아있어 주변의 잡목을 제거하고 뒤편의 잔존부분과 10여 년 전의 사진자료 등을 근거로 원형에 가깝게 복원이 가능할 것으로 판단되어 향토유산적 가치가 충분한 것으로 보인다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
36.67845328,127.5246468,김해김씨 열녀각金海金氏 烈女閣,113,유형문화유적,건조물,,충청북도 청주시 청원구 내수읍 국동리 85,2015-04-17,사유,,1동,,,경주김씨 김인석의 처 김해김씨의 정절을 기리기 위해 세운 정려각,043-201-2437,충청북도 청주시청,2025-11-18,5710000,충청북도 청주시
36.7036221,127.5326249,진주유문 쌍효각晋州柳門 雙孝閣,114,유형문화유적,건조물,,충청북도 청주시 청원구 내수읍 은곡리 산35,2015-04-17,사유,,1동,,,진주유씨 유의신과 유의인 형제의 효행을 기리기 위해 세운 정려긱,043-201-2437,충청북도 청주시청,2025-11-18,5710000,충청북도 청주시
36.71499927,127.5169682,죽림영당竹林影堂,115,유형문화유적,건조물,,충청북도 청주시 청원구 내수읍 원통리 산7-12,2015-04-17,사유,,1동,,,"이후직, 변숙, 지성구, 신영식, 왕린, 민광도, 민광식의 칠현갑회도를 봉안하기 위해 세운 사당",043-201-2437,충청북도 청주시청,2025-11-18,5710000,충청북도 청주시
36.71776937,127.5498923,한봉수 의병장 유허지韓鳳洙 義兵將 遺虛地,116,유형문화유적,건조물,,충청북도 청주시 청원구 내수읍 학평리 85-4,2015-04-17,국유,,1원,,,세교리 장터 전투 터와 한봉수의병장 생가 및 묘소 유적임,043-201-2437,충청북도 청주시청,2025-11-18,5710000,충청북도 청주시
