source_name,source_url,reference_date,item_type,name_ko,category,region,address,latitude,longitude,summary,story_use,mission_use,age_tags,keywords,SpcTxnId,Kingdom,KingdomKR,PhylumDivision,PhylumDivisionKR,Class,ClassKR,Order,OrderKR,Family,FamilyKR,SpcScitfNm,SpcScitfNmShort,CommKorNm,SpcTyp,ABST,FORM,ECOL,CULTIVINF,BIOCHEMICAL,ACTIVINFO,NADI,INDI,HABI,UTLZ,CorrNmTyp,CorrSpcScitfNm
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가는미역실,크로미스타계; 대롱편모조식물문; 갈조강; 솜털목; 고리매과,"제주도, 흑산도","제주도, 흑산도",,,"식물체의 색은 황갈색이고 곧게 자라며, 편평하고 상부는 꼬여있으며 속은 비었있다. 가지는 없고 가근으로부터 여러 가닥이 함께 난다. 잘록이고리매에 비해 가지가 가늘다. 식물체의 길이는 14~25 cm이고, 두께는 70~115 μm이다. 겨울부터 초봄까지 출현한다. 조간대 상부의 암반에 생육한다.","해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가는미역실;Planosiphon;gracilis;고리매과;제주도;흑산도,270000024257,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Ectocarpales,솜털목,Scytosiphonaceae,고리매과,"Planosiphon gracilis (Kogame) McDevit & G.W.Saunders, 2017",Planosiphon gracilis,가는미역실,기타,"식물체의 색은 황갈색이고 곧게 자라며, 편평하고 상부는 꼬여있으며 속은 비었있다. 가지는 없고 가근으로부터 여러 가닥이 함께 난다. 잘록이고리매에 비해 가지가 가늘다. 식물체의 길이는 14~25 cm이고, 두께는 70~115 μm이다. 겨울부터 초봄까지 출현한다. 조간대 상부의 암반에 생육한다.","식물체의 색은 황갈색이고 직립한다. 엽상체는 편평하고 상부는 꼬여 있으며 속은 비었다. 가지는 없고 가근으로부터 여러 가닥이 함께 난다. 잘록이고리매에 비해 엽상체가 가늘고 얇은 점에서 구분된다. 체장은 14~25cm이고, 두께는 70~115μm이다. 겨울부터 초봄까지 출현한다. (국립해양생물자원관, 해양생명자원 기탁등록보존기관(2016~2018))",조간대 상부의 암반에 생육한다.,,,,"제주도, 흑산도","멕시코, 칠레, 일본",,,정명,"Planosiphon gracilis (Kogame) McDevit & G.W.Saunders, 2017"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가는민가지말,크로미스타계; 대롱편모조식물문; 갈조강; 솜털목; 민가지말과,,,,,가는민가지말은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가는민가지말;Chordaria;gracilis;민가지말과,270000021224,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Ectocarpales,솜털목,Chordariaceae,민가지말과,"Chordaria gracilis Setchell & N.L.Gardner, 1924",Chordaria gracilis,가는민가지말,기타,,,,,,,,,,,정명,"Chordaria gracilis Setchell & N.L.Gardner, 1924"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가는바위딱지,크로미스타계; 대롱편모조식물문; 갈조강; 바위딱지목; 바위딱지과,,,,,가는바위딱지은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가는바위딱지;Ralfsia;fungiformis;바위딱지과,270000024738,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Ralfsiales,바위딱지목,Ralfsiaceae,바위딱지과,"Ralfsia fungiformis (Gunnerus) Setchell & N.L.Gardner, 1924",Ralfsia fungiformis,가는바위딱지,기타,,,,,,,,,,,정명,"Ralfsia fungiformis (Gunnerus) Setchell & N.L.Gardner, 1924"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가시모자반,크로미스타계; 대롱편모조식물문; 갈조강; 말목; 모자반과,,,,,가시모자반은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가시모자반;Sargassum;polyporum;모자반과,270000026402,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Fucales,말목,Sargassaceae,모자반과,"Sargassum polyporum Montagne, 1842",Sargassum polyporum,가시모자반,기타,,,,,,,,,,,정명,"Sargassum polyporum Montagne, 1842"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가시뼈대그물말,크로미스타계; 대롱편모조식물문; 갈조강; 그물바탕말목; 그물바탕말과,우리나라 전 연안,우리나라 전 연안,,,"식물체는 짙은 갈색이며, 중륵이 매우 뚜렷하며, 중륵으로부터 작은 가지들이 형성된다. 식물체의 폭은 3~8 mm이며, 길이는 10~30 cm까지 자란다. 포자낭은 구슬 모양이며 중륵 가까이에 만들어 진다. 식물체는 암반에 착생하여 조간대 하부에서 조하대의 얕은 곳에 자라며, 연중 출현한다.","해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가시뼈대그물말;Dictyopteris;prolifera;그물바탕말과;우리나라;전;연안,270000021685,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Dictyotales,그물바탕말목,Dictyotaceae,그물바탕말과,"Dictyopteris prolifera (Okamura) Okamura, 1930",Dictyopteris prolifera,가시뼈대그물말,기타,"식물체는 짙은 갈색이며, 중륵이 매우 뚜렷하며, 중륵으로부터 작은 가지들이 형성된다. 식물체의 폭은 3~8 mm이며, 길이는 10~30 cm까지 자란다. 포자낭은 구슬 모양이며 중륵 가까이에 만들어 진다. 식물체는 암반에 착생하여 조간대 하부에서 조하대의 얕은 곳에 자라며, 연중 출현한다.","엽체는 짙은 갈색으로 중륵이 매우 뚜렷하며 암반에 착생한다. 중륵에서 가지를 내고 막대 모양의 정단세포가 여러 개 나란히 있으며 그 부분은 오목하다. 포자낭은 구슬 모양이 중륵 인근에서 생성된다.(Choi et al., 2016 편집 인용)",,,,,우리나라 전 연안,"일본, 카보베르데 제도, 중국",,,정명,"Dictyopteris prolifera (Okamura) Okamura, 1930"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가온열매실말,크로미스타계; 대롱편모조식물문; 갈조강; 솜털목; 솜말과,,,,,가온열매실말은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가온열매실말;Pylaiella;littoralis;솜말과,270000024708,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Ectocarpales,솜털목,Acinetosporaceae,솜말과,"Pylaiella littoralis (Linnaeus) Kjellman, 1872",Pylaiella littoralis,가온열매실말,기타,,,,,,,,,,,정명,"Pylaiella littoralis (Linnaeus) Kjellman, 1872"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가위갯쇠털,크로미스타계; 대롱편모조식물문; 갈조강; 갯쇠털목; 갯쇠털과,우리나라 전 연안,우리나라 전 연안,,,"식물체는 옅은 갈색 혹은 녹갈색을 띠고, 곧게 0.5~1 cm까지 자란다. 기부는 원반형이고, 가장자리에서 가근이 발달한다. 가지는 불규칙하게 분지하며, 마디는 방사상으로 분열하고, 측면에서 2~4개의 직사각형 모양의 주변세포로 이루어진다. 갈조털은 가지 측면에 위치한다. 배아지는 가지의 끝부분에 형성되고, 원기둥 모양의 자루와 2개의 작은 가지로 구성된다. 단자낭은 짙은 갈색으로 구형이고, 가지의 중하부에 발달하며, 길이 25~55 ㎛이다. 배우자낭은 가지의 중하부에 자루에 붙고, 길이 45~65 ㎛, 폭 25~40 ㎛이다. 조간대에서 자라고, 다른 해조류에 착생한다.","해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가위갯쇠털;Sphacelaria;rigidula;갯쇠털과;우리나라;전;연안,270000025190,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Sphacelariales,갯쇠털목,Sphacelariaceae,갯쇠털과,"Sphacelaria rigidula Kützing, 1843",Sphacelaria rigidula,가위갯쇠털,기타,"식물체는 옅은 갈색 혹은 녹갈색을 띠고, 곧게 0.5~1 cm까지 자란다. 기부는 원반형이고, 가장자리에서 가근이 발달한다. 가지는 불규칙하게 분지하며, 마디는 방사상으로 분열하고, 측면에서 2~4개의 직사각형 모양의 주변세포로 이루어진다. 갈조털은 가지 측면에 위치한다. 배아지는 가지의 끝부분에 형성되고, 원기둥 모양의 자루와 2개의 작은 가지로 구성된다. 단자낭은 짙은 갈색으로 구형이고, 가지의 중하부에 발달하며, 길이 25~55 ㎛이다. 배우자낭은 가지의 중하부에 자루에 붙고, 길이 45~65 ㎛, 폭 25~40 ㎛이다. 조간대에서 자라고, 다른 해조류에 착생한다.",,,,,,우리나라 전 연안,"유럽, 대서양, 북아메리카, 중앙아메리카, 카리브해, 서대서양, 남아메리카, 아프리카, 인도양, 서남아시아, 아시아, 동남아시아, 호주, 뉴질랜드, 태평양, 아일랜드, 남극",,,정명,"Sphacelaria rigidula Kützing, 1843"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가지바다오디,크로미스타계; 대롱편모조식물문; 갈조강; 솜털목; 민가지말과,,,,,가지바다오디은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가지바다오디;Botrytella;reinboldii;민가지말과,270000019371,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Ectocarpales,솜털목,Chordariaceae,민가지말과,"Botrytella reinboldii (Reinke) Kornmann & Sahling, 1988",Botrytella reinboldii,가지바다오디,기타,,,,,,,,,,,정명,"Botrytella reinboldii (Reinke) Kornmann & Sahling, 1988"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가지반점말,크로미스타계; 대롱편모조식물문; 갈조강; 솜털목; 민가지말과,,,,,가지반점말은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가지반점말;Protectocarpus;speciosus;민가지말과,270000024386,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Ectocarpales,솜털목,Chordariaceae,민가지말과,"Protectocarpus speciosus (Børgesen) Kornmann, 1955",Protectocarpus speciosus,가지반점말,기타,,,,,,,,,,,정명,"Protectocarpus speciosus (Børgesen) Kornmann, 1955"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,갈기반주름말,크로미스타계; 대롱편모조식물문; 갈조강; 그물바탕말목; 그물바탕말과,"동해안, 남해안, 제주도","동해안, 남해안, 제주도; 조하대 암반",,,"바다에 사는 갈조식물이다. 엽체는 암반에 착생하고, 직립하며, 평편하다. 가근성 부착기로 부착한다. 성숙한 엽체는 길이 5-10cm, 부채꼴 모양이며, 성숙하면 파열되고, 엷은 갈색이다. 엽체는 다층세포로 구성되고, 정단분열을 보인다. 엽체 하부에서 발달하는 부정지는 중륵처럼 보이기도 한다. 조하대 암반에 착생하여 자라며, 연중 관찰된다. 동해안, 남해안, 제주도에 생육하며, 세계적으로 일본과 호주에 분포한다.","해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;갈기반주름말;Zonaria;flabellata;그물바탕말과;조하대;암반;동해안;남해안;제주도,270000026011,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Dictyotales,그물바탕말목,Dictyotaceae,그물바탕말과,"Zonaria flabellata (Okamura) Papenfuss, 1944",Zonaria flabellata,갈기반주름말,기타,"바다에 사는 갈조식물이다. 엽체는 암반에 착생하고, 직립하며, 평편하다. 가근성 부착기로 부착한다. 성숙한 엽체는 길이 5-10cm, 부채꼴 모양이며, 성숙하면 파열되고, 엷은 갈색이다. 엽체는 다층세포로 구성되고, 정단분열을 보인다. 엽체 하부에서 발달하는 부정지는 중륵처럼 보이기도 한다. 조하대 암반에 착생하여 자라며, 연중 관찰된다. 동해안, 남해안, 제주도에 생육하며, 세계적으로 일본과 호주에 분포한다.","엽체는 암반에 착생하고, 직립하며, 평편하며, 가근성 부착기로 부착하며, 성숙한 엽체는 길이 5-10cm, 부채꼴 모양이며, 성숙하면 파열되고, 엷은 갈색이다. 엽체는 다층세포로 구성되고, 정단분열을 보인다.",전 계절에 생육,,,,"동해안, 남해안, 제주도","일본, 호주",조하대 암반,특별한 용도가 알려진 바 없음,정명,"Zonaria flabellata (Okamura) Papenfuss, 1944"
